flight_date, flight_status, flight_iata, arrival_iata, arrival_delay, departure_iata, departure_delay
2020-12-03,scheduled,LH8473,FRA,null,HKG,null
2020-12-03,scheduled,LH8472,FRA,null,HKG,null
2020-12-03,scheduled,CX2050,CGO,null,HKG,null
2020-12-03,scheduled,GJ8135,SZX,null,DLC,null
2020-12-03,scheduled,GJ6013,TSN,null,DLC,null
2020-12-03,scheduled,QF7424,SYD,null,BNE,null
2020-12-03,scheduled,QF7305,MEL,null,BNE,null
2020-12-03,scheduled,CF9065,NKG,null,XMN,null
2020-12-03,scheduled,O36995,HGH,null,XMN,null
2020-12-03,scheduled,GJ5072,CTU,null,XNN,null
2020-12-03,scheduled,SC3618,CTU,null,XNN,null
2020-12-03,scheduled,G54446,CTU,null,XNN,null
2020-12-03,scheduled,GJ8148,NKG,null,KIX,null
2020-12-03,scheduled,YG9005,CTU,null,HGH,null
2020-12-03,scheduled,QF7423,ADL,null,MEL,null
2020-12-03,scheduled,QF7454,SYD,null,MEL,null
2020-12-03,scheduled,QF7353,BNE,null,MEL,null
2020-12-03,scheduled,QF7356,LST,null,MEL,null
2020-12-03,scheduled,QF7452,ADL,null,MEL,null
2020-12-03,scheduled,VA9571,ADL,null,MEL,null
2020-12-03,scheduled,QF7458,ADL,null,MEL,null
2020-12-03,scheduled,GX8843,AEB,null,NNG,null
2020-12-03,scheduled,GI4105,SJW,null,LYG,null
2020-12-03,scheduled,O37201,FRA,null,WUH,null
2020-12-03,scheduled,GI4027,TSN,null,WUX,null
2020-12-03,scheduled,O37156,SGN,null,NNG,null
2020-12-03,scheduled,JQ500,SYD,null,MEL,null
2020-12-03,scheduled,O37131,DEL,null,SZX,null
2020-12-03,scheduled,VA9561,MEL,null,LST,null
2020-12-03,scheduled,O36912,SZX,null,CGO,null
2020-12-03,scheduled,PO211,PVG,null,NGO,null
2020-12-03,scheduled,QF7524,CHC,null,AKL,null
2020-12-03,scheduled,GI4113,HFE,null,CGO,null
2020-12-03,scheduled,O36921,HGH,null,CGO,null
2020-12-03,scheduled,GJ8149,CGO,null,CGQ,null
2020-12-03,scheduled,OZ9760,ADD,null,ICN,null
2020-12-03,scheduled,ET673,ADD,null,ICN,null
2020-12-03,scheduled,QF7521,ANC,null,ICN,null
2020-12-03,scheduled,CV6353,LUX,null,ICN,null
2020-12-03,scheduled,AF3122,AMS,null,ICN,null
2020-12-03,scheduled,MU1551,AMS,null,ICN,null
2020-12-03,scheduled,AT9735,DOH,null,ICN,null
2020-12-03,scheduled,KL858,AMS,null,ICN,null
2020-12-03,scheduled,OZ6889,DOH,null,ICN,null
2020-12-03,scheduled,S74042,DOH,null,ICN,null
2020-12-03,scheduled,QR859,DOH,null,ICN,null
2020-12-03,scheduled,KE323,XIY,null,ICN,null
2020-12-03,scheduled,OZ987,PVG,null,ICN,null
2020-12-03,scheduled,LH4921,FRA,null,HND,null
2020-12-03,scheduled,NH203,FRA,null,HND,null
2020-12-03,scheduled,KN5555,CTU,null,PKX,null
2020-12-03,scheduled,O36953,HGH,null,XIY,null
2020-12-03,scheduled,QF7489,SYD,null,ADL,null
2020-12-03,scheduled,KN7777,SZX,null,PKX,null
2020-12-03,scheduled,S75245,NER,null,OVB,15
2020-12-03,scheduled,AA8933,LAX,null,HKG,null
2020-12-03,scheduled,MH9190,LAX,null,HKG,null
2020-12-03,scheduled,CX880,LAX,null,HKG,null
2020-12-03,scheduled,CX3170,ANC,null,HKG,10
2020-12-03,scheduled,O36890,NGB,null,HKG,null
2020-12-03,scheduled,CX271,AMS,null,HKG,null
2020-12-03,scheduled,CX6,NRT,null,HKG,null
