"flight_status","departure_airport","arrival_airport","flight_number","flight_date"
"landed","NQZ","ALA","KC618","2021-10-09"
"scheduled","ICN","TAO","KJ231","2021-10-09"
"scheduled","CMB","AUH","KL3944","2021-10-09"
"scheduled","MEL","KUL","KL4109","2021-10-09"
"scheduled","NBO","EBB","KL4188","2021-10-09"
"scheduled","NBO","EBB","KQ418","2021-10-09"
"scheduled","CAN","KWI","KU420","2021-10-09"
"scheduled","CAN","INC","KY9055","2021-10-09"
"scheduled","KUL","DOH","LA5270","2021-10-09"
"scheduled","ZRH","MAD","LA5402","2021-10-09"
"scheduled","AKL","WLG","LA5682","2021-10-09"
"scheduled","MEL","KUL","LA8927","2021-10-09"
"scheduled","ICN","FRA","LH8431","2021-10-09"
"scheduled","ICN","FRA","LH8433","2021-10-09"
"scheduled","AKL","SIN","LH9753","2021-10-09"
"scheduled","MEL","SIN","LH9777","2021-10-09"
"scheduled","ZRH","OSL","LX1210","2021-10-09"
"scheduled","ZRH","PVG","LX188","2021-10-09"
"scheduled","ZRH","ZAG","LX4250","2021-10-09"
"scheduled","ZRH","SIN","LX9000","2021-10-09"
"scheduled","AKL","SIN","LX9003","2021-10-09"
"scheduled","CAN","KMG","MF1239","2021-10-09"
"scheduled","CAN","INC","MF5345","2021-10-09"
"scheduled","CAN","HGH","MF5454","2021-10-09"
"scheduled","MEL","KUL","MH128","2021-10-09"
"scheduled","LWY","BKM","MH3540","2021-10-09"
"scheduled","KUL","DOH","MH9054","2021-10-09"
"scheduled","ASW","CAI","MS85","2021-10-09"
"cancelled","CAN","WNZ","MU2491","2021-10-09"
"scheduled","CAN","SHA","MU3422","2021-10-09"
"active","CAN","WUH","MU6733","2021-10-09"
"scheduled","CAN","KMG","MU6823","2021-10-09"
"landed","CAN","WEH","MU6895","2021-10-09"
"cancelled","CAN","XIY","MU6955","2021-10-09"
"active","SHA","CTU","MU8402","2021-10-09"
"scheduled","SVX","IST","N41277","2021-10-09"
"cancelled","FUK","KMI","NH4665","2021-10-09"
"scheduled","BKK","NRT","NH8546","2021-10-09"
"scheduled","CHC","LAX","NZ1010","2021-10-09"
"scheduled","AKL","SIN","NZ3282","2021-10-09"
"scheduled","ZRH","SIN","NZ3345","2021-10-09"
"cancelled","AKL","WLG","NZ401","2021-10-09"
"cancelled","AKL","NPE","NZ5025","2021-10-09"
"cancelled","NPL","AKL","NZ5030","2021-10-09"
"cancelled","PMR","AKL","NZ5100","2021-10-09"
"scheduled","AKL","CHC","NZ515","2021-10-09"
"landed","IVC","CHC","NZ5700","2021-10-09"
"cancelled","AKL","ZQN","NZ611","2021-10-09"
"cancelled","AKL","ZQN","NZ621","2021-10-09"
"active","BNE","BDB","NZ7154","2021-10-09"
"landed","BNE","GLT","NZ7164","2021-10-09"
"landed","BNE","MKY","NZ7763","2021-10-09"
"cancelled","GIS","AKL","NZ8166","2021-10-09"
"scheduled","TRG","WLG","NZ8251","2021-10-09"
"scheduled","NPL","CHC","NZ8761","2021-10-09"
"scheduled","NPL","WLG","NZ8791","2021-10-09"
"landed","IVC","WLG","NZ8872","2021-10-09"
"scheduled","HGH","JJN","O36859","2021-10-09"
"scheduled","JJN","HGH","O36860","2021-10-09"
"scheduled","PEK","HGH","O36865","2021-10-09"
"scheduled","CTU","SZX","O36884","2021-10-09"
"scheduled","HGH","TAO","O36886","2021-10-09"
"scheduled","HGH","SZX","O36897","2021-10-09"
"scheduled","NTG","SZX","O36899","2021-10-09"
"scheduled","CKG","SZX","O36900","2021-10-09"
"scheduled","PEK","SZX","O36909","2021-10-09"
"scheduled","PEK","HGH","O36913","2021-10-09"
"scheduled","HAK","SZX","O36919","2021-10-09"
"scheduled","HGH","CGO","O36923","2021-10-09"
"scheduled","HGH","TAO","O36933","2021-10-09"
"scheduled","PEK","WUX","O36945","2021-10-09"
"scheduled","JJN","SZX","O36948","2021-10-09"
"scheduled","WEF","SZX","O36950","2021-10-09"
"scheduled","HGH","URC","O36957","2021-10-09"
"scheduled","HGH","TSN","O36971","2021-10-09"
"scheduled","CAN","WUX","O36979","2021-10-09"
"scheduled","HET","HGH","O37053","2021-10-09"
"scheduled","CSX","WUH","O37055","2021-10-09"
"scheduled","MAA","SZX","O37070","2021-10-09"
"scheduled","URC","HGH","O37111","2021-10-09"
"scheduled","HGH","URC","O37112","2021-10-09"
"scheduled","FOC","SZX","O37145","2021-10-09"
"scheduled","WNZ","WEH","O37253","2021-10-09"
"scheduled","WEH","WNZ","O37254","2021-10-09"
"scheduled","CSX","KIX","O37255","2021-10-09"
"scheduled","KIX","WUH","O37302","2021-10-09"
"scheduled","HGH","SZX","O37306","2021-10-09"
"scheduled","ZRH","MAD","OB5503","2021-10-09"
"scheduled","FUK","KMI","OC65","2021-10-09"
"scheduled","MEL","HKG","OM5612","2021-10-09"
"scheduled","ZRH","ZAG","OU461","2021-10-09"
"scheduled","ZRH","IST","OZ6924","2021-10-09"
"scheduled","SHJ","ISB","PA213","2021-10-09"
"active","CMN","SAW","PC652","2021-10-09"
"scheduled","CGK","DPS","PG4312","2021-10-09"
"scheduled","SHJ","ISB","PK182","2021-10-09"
"scheduled","CMB","AUH","PK4265","2021-10-09"
"landed","ALA","KBP","PQ322","2021-10-09"
"active","BNE","NLK","QF183","2021-10-09"
"active","BNE","BDB","QF2322","2021-10-09"
"landed","BNE","GLT","QF2334","2021-10-09"
"scheduled","AKL","DUD","QF4943","2021-10-09"
"scheduled","AKL","WLG","QF4971","2021-10-09"
"landed","KOJ","NRT","QF5068","2021-10-09"
"cancelled","AKL","ZQN","QF8448","2021-10-09"
"cancelled","AKL","NPE","QF8465","2021-10-09"
"cancelled","PMR","AKL","QF8484","2021-10-09"
"cancelled","GIS","AKL","QF8495","2021-10-09"
"cancelled","NPL","AKL","QF8502","2021-10-09"
"landed","IVC","WLG","QF8631","2021-10-09"
"landed","BNE","MKY","QF984","2021-10-09"
"scheduled","DPS","UPG","QG342","2021-10-09"
"scheduled","SUB","BPN","QG430","2021-10-09"
"scheduled","DPS","CGK","QG683","2021-10-09"
"scheduled","PLM","CGK","QG985","2021-10-09"
"scheduled","MEL","KUL","QR4968","2021-10-09"
"scheduled","KUL","DOH","QR853","2021-10-09"
"scheduled","NBO","LGG","QR8776","2021-10-09"
"scheduled","CMB","AUH","S74608","2021-10-09"
"scheduled","ICN","OVB","S75792","2021-10-09"
"scheduled","VVO","PKC","S76215","2021-10-09"
"scheduled","VVO","UUS","S76221","2021-10-09"
"scheduled","IKT","NMA","S76351","2021-10-09"
"scheduled","NKG","YNT","SC4728","2021-10-09"
"scheduled","SUB","BPN","SJ232","2021-10-09"
"scheduled","SUB","CGK","SJ257","2021-10-09"
"scheduled","DPS","CGK","SJ273","2021-10-09"
"scheduled","SUB","UPG","SJ566","2021-10-09"
"scheduled","ZRH","OSL","SK3516","2021-10-09"
"scheduled","MEL","SIN","SQ218","2021-10-09"
"scheduled","ZRH","ZAG","SQ2413","2021-10-09"
"scheduled","AKL","SIN","SQ282","2021-10-09"
"cancelled","GIS","AKL","SQ4398","2021-10-09"
"cancelled","AKL","NPE","SQ4413","2021-10-09"
"cancelled","AKL","ZQN","SQ4450","2021-10-09"
"cancelled","AKL","ZQN","SQ4451","2021-10-09"
"scheduled","NPL","CHC","SQ4533","2021-10-09"
"scheduled","SHJ","BRU","SQ7366","2021-10-09"
"scheduled","SIN","HKG","SQ7868","2021-10-09"
"scheduled","SIN","ATH","SQ8560","2021-10-09"
"scheduled","SVO","REN","SU1244","2021-10-09"
"scheduled","SVO","OVB","SU1306","2021-10-09"
"scheduled","SVO","HMA","SU1382","2021-10-09"
"scheduled","SVO","KJA","SU1482","2021-10-09"
"scheduled","SVO","OMS","SU1638","2021-10-09"
"scheduled","SVO","SEZ","SU244","2021-10-09"
"scheduled","BEG","TIA","SU3761","2021-10-09"
"scheduled","SVO","LED","SU46","2021-10-09"
"scheduled","VVO","PKC","SU5614","2021-10-09"
"scheduled","SVO","MQF","SU6263","2021-10-09"
"scheduled","SVO","AER","SU6499","2021-10-09"
"scheduled","CGK","DPS","SV6156","2021-10-09"
"scheduled","NBO","EBB","SV6931","2021-10-09"
"landed","AYT","LED","TK1233","2021-10-09"
"scheduled","ZRH","IST","TK1908","2021-10-09"
"scheduled","TAS","IST","TK371","2021-10-09"
"scheduled","MEL","KUL","TK4810","2021-10-09"
"active","ISL","BAH","TK6578","2021-10-09"
"scheduled","ESB","IKA","TK7880","2021-10-09"
"scheduled","MEL","SIN","TK9311","2021-10-09"
"scheduled","IXK","AMD","TRJ720","2021-10-09"
"scheduled","ZRH","DJE","TU875","2021-10-09"
"scheduled","CAN","XUZ","TV6917","2021-10-09"
"scheduled","CAN","INC","TV6943","2021-10-09"
"landed","ALC","LTN","U22230","2021-10-09"
"scheduled","KTM","KEP","U4405","2021-10-09"
"scheduled","SVX","AYT","U61575","2021-10-09"
"scheduled","UFA","AYT","U61863","2021-10-09"
"scheduled","SVX","BQS","U6299","2021-10-09"
"scheduled","SVX","TAS","U68961","2021-10-09"
"scheduled","IAD","BOS","UA641","2021-10-09"
"scheduled","ZRH","ZAG","UA7278","2021-10-09"
"scheduled","MEL","SIN","UK8218","2021-10-09"
"cancelled","CMB","MAA","UL1025","2021-10-09"
"scheduled","MAA","CMB","UL126","2021-10-09"
"scheduled","CMB","AUH","UL2265","2021-10-09"
"scheduled","MEL","KUL","UL2328","2021-10-09"
"scheduled","ZRH","MAD","VY5147","2021-10-09"
"scheduled","MHD","THR","W51090","2021-10-09"
"scheduled","MEL","KUL","WY5128","2021-10-09"
"scheduled","NBO","EBB","WY5390","2021-10-09"
"active","DOH","MUC","WY6241","2021-10-09"
"scheduled","SVX","BAX","WZ1075","2021-10-09"
"scheduled","BMA","AGH","X14447","2021-10-09"
"landed","AYT","DUS","XC9961","2021-10-09"
"scheduled","FMO","AYT","XQ251","2021-10-09"
"scheduled","GIZ","RUH","XY116","2021-10-09"
"scheduled","GIZ","DMM","XY718","2021-10-09"
"scheduled","CAN","PVG","Y87331","2021-10-09"
"scheduled","CAN","TPE","Y87911","2021-10-09"
"scheduled","HGH","TSN","Y87921","2021-10-09"
"scheduled","HGH","PEK","Y87933","2021-10-09"
"scheduled","HGH","CGO","Y87969","2021-10-09"
"scheduled","HGH","PEK","Y87985","2021-10-09"
"scheduled","HGH","XMN","Y87993","2021-10-09"
"scheduled","HGH","SIN","YG9033","2021-10-09"
"scheduled","HGH","MNL","YG9041","2021-10-09"
"scheduled","HGH","KUL","YG9051","2021-10-09"
"scheduled","YNZ","ICN","YG9073","2021-10-09"
"scheduled","KMG","LHE","YG9089","2021-10-09"
"scheduled","HGH","SIN","YG9119","2021-10-09"
"scheduled","TAO","KIX","YG9127","2021-10-09"
"cancelled","CAN","PEK","ZH1386","2021-10-09"
"scheduled","CAN","LZO","ZH4352","2021-10-09"
"scheduled","CAN","SHA","ZH5006","2021-10-09"
"active","CAN","LJG","ZH8401","2021-10-09"
"scheduled","MHD","THR","ZO4040","2021-10-09"
"scheduled","MEL","HKG","AY5844","2021-10-30"
"scheduled","MEL","HKG","BA4140","2021-10-30"
"scheduled","MEL","HKG","CX178","2021-10-30"
"active","KIX","IND","FX12","2021-10-30"
"scheduled","AKL","SIN","LH9753","2021-10-30"
"scheduled","MEL","SIN","LH9777","2021-10-30"
"scheduled","AKL","SIN","LX9003","2021-10-30"
"scheduled","MEL","KUL","MH128","2021-10-30"
"scheduled","CHC","LAX","NZ1010","2021-10-30"
"scheduled","AKL","SIN","NZ3282","2021-10-30"
"scheduled","MEL","HKG","OM5612","2021-10-30"
"scheduled","MEL","SIN","SQ218","2021-10-30"
"scheduled","AKL","SIN","SQ282","2021-10-30"
"scheduled","MEL","SIN","TK9311","2021-10-30"
"scheduled","MEL","SIN","UK8218","2021-10-30"
"scheduled","SGN","SIN","3K556","2021-12-04"
"scheduled","KUL","MNL","5J502","2021-12-04"
"unknown","CCU","GOI","6E106","2021-12-04"
"scheduled","CCJ","SHJ","6E1848","2021-12-04"
"scheduled","DEL","DXB","6E21","2021-12-04"
"landed","MAA","AMD","6E244","2021-12-04"
"scheduled","DXB","HYD","6E25","2021-12-04"
"scheduled","AMD","PNQ","6E699","2021-12-04"
"scheduled","KRR","KJA","6R579","2021-12-04"
"scheduled","PVG","GYD","7L36","2021-12-04"
"scheduled","DAC","GYD","7L534","2021-12-04"
"active","CGO","WNZ","8L9517","2021-12-04"
"active","CGO","KOW","8L9519","2021-12-04"
"active","CGO","KWE","8L9527","2021-12-04"
"cancelled","CGO","SHE","9C6334","2021-12-04"
"cancelled","SHA","LJG","9C6733","2021-12-04"
"cancelled","CKG","JIQ","9C8630","2021-12-04"
"active","SJW","HIA","9C8665","2021-12-04"
"landed","SHA","XMN","9C8815","2021-12-04"
"active","SHA","TAO","9C8821","2021-12-04"
"landed","SHA","JJN","9C8909","2021-12-04"
"active","TJM","ROV","A4234","2021-12-04"
"scheduled","DEL","JFK","AA293","2021-12-04"
"scheduled","DEL","YYZ","AC43","2021-12-04"
"scheduled","DEL","CDG","AF225","2021-12-04"
"landed","NAN","HKG","AI6171","2021-12-04"
"scheduled","HND","KMJ","AM7736","2021-12-04"
"scheduled","NAN","HKG","AY3102","2021-12-04"
"scheduled","PVG","HEL","AY3152","2021-12-04"
"scheduled","HAN","DOH","BA4491","2021-12-04"
"scheduled","MEL","KUL","BA7388","2021-12-04"
"landed","UKB","KOJ","BC131","2021-12-04"
"scheduled","HND","OKA","BC511","2021-12-04"
"landed","UKB","OKA","BC591","2021-12-04"
"landed","CKG","TPE","BR678","2021-12-04"
"scheduled","DEL","AMD","BZ481","2021-12-04"
"scheduled","PVG","KHN","CA1013","2021-12-04"
"scheduled","PVG","CTU","CA1023","2021-12-04"
"cancelled","KIX","PVG","CA1062","2021-12-04"
"scheduled","SHE","NKG","CA1087","2021-12-04"
"cancelled","PEK","NKG","CA1847","2021-12-04"
"landed","SZX","PEK","CA3401","2021-12-04"
"scheduled","WUX","SZX","CA3486","2021-12-04"
"active","CKG","NKG","CA3575","2021-12-04"
"scheduled","PEK","BKK","CA603","2021-12-04"
"scheduled","PEK","DXB","CA605","2021-12-04"
"scheduled","PVG","SGN","CA609","2021-12-04"
"cancelled","PVG","LHR","CA611","2021-12-04"
"scheduled","PEK","LAX","CA625","2021-12-04"
"scheduled","KMG","BKK","CF219","2021-12-04"
"scheduled","PEK","CAN","CF9020","2021-12-04"
"scheduled","KHN","NKG","CF9023","2021-12-04"
"scheduled","HAK","NKG","CF9055","2021-12-04"
"scheduled","NKG","WUH","CF9068","2021-12-04"
"scheduled","TYN","NKG","CF9069","2021-12-04"
"scheduled","TNA","NKG","CF9075","2021-12-04"
"scheduled","TPE","LAX","CI5198","2021-12-04"
"unknown","TPE","KIX","CI5238","2021-12-04"
"scheduled","ICN","JFK","CM8004","2021-12-04"
"scheduled","AKL","PPQ","CV642","2021-12-04"
"scheduled","ICN","TPE","CV7345","2021-12-04"
"scheduled","KUL","LUX","CV7855","2021-12-04"
"scheduled","CKG","CTU","CX3261","2021-12-04"
"scheduled","DEL","HKG","CX694","2021-12-04"
"scheduled","PVG","LAX","CZ443","2021-12-04"
"scheduled","SHA","FOC","CZ4486","2021-12-04"
"scheduled","LZO","KWL","CZ4558","2021-12-04"
"scheduled","SHA","PKX","CZ8880","2021-12-04"
"scheduled","LZO","CAN","CZ9010","2021-12-04"
"scheduled","TNA","CTU","CZ9628","2021-12-04"
"cancelled","CKG","SJW","CZ9731","2021-12-04"
"scheduled","SJW","CGQ","CZ9737","2021-12-04"
"landed","WUH","SZX","CZ9914","2021-12-04"
"scheduled","SZX","HAK","CZ9925","2021-12-04"
"scheduled","ALB","DTW","DL4164","2021-12-04"
"scheduled","ICN","DFW","DL7869","2021-12-04"
"landed","WUH","SZX","DZ6228","2021-12-04"
"scheduled","DXB","JED","EK2801","2021-12-04"
"scheduled","KUL","DXB","EK449","2021-12-04"
"scheduled","MAA","DXB","EK543","2021-12-04"
"scheduled","BNK","SYD","EK7511","2021-12-04"
"scheduled","ADD","LGG","ET3706","2021-12-04"
"scheduled","WLG","DUD","EY4539","2021-12-04"
"scheduled","WLG","CHC","EY4579","2021-12-04"
"scheduled","GVA","ZRH","EY6216","2021-12-04"
"landed","ADL","MEL","EY6509","2021-12-04"
"scheduled","RIX","AMS","EY8086","2021-12-04"
"landed","NAN","HKG","FJ391","2021-12-04"
"scheduled","WLG","CHC","FJ5551","2021-12-04"
"scheduled","MEL","KUL","FY7146","2021-12-04"
"scheduled","DXB","TBS","FZ713","2021-12-04"
"scheduled","DXB","BOM","FZ8005","2021-12-04"
"scheduled","JXA","DLC","G56447","2021-12-04"
"active","CKG","TNA","G58615","2021-12-04"
"scheduled","DEL","SHJ","G81506","2021-12-04"
"scheduled","DEL","HKT","G873","2021-12-04"
"scheduled","SHJ","TBS","G9293","2021-12-04"
"scheduled","TRV","SHJ","G9447","2021-12-04"
"scheduled","AMQ","UPG","GA641","2021-12-04"
"active","ICN","SVO","GA9410","2021-12-04"
"active","LYG","CAN","GI4104","2021-12-04"
"scheduled","CGO","ICN","GI4119","2021-12-04"
"scheduled","CGO","HAN","GI4201","2021-12-04"
"scheduled","ICN","YNT","GI4222","2021-12-04"
"scheduled","YNT","ICN","GI4237","2021-12-04"
"scheduled","PKX","SWA","GJ6011","2021-12-04"
"scheduled","LYI","BKK","GJ8521","2021-12-04"
"scheduled","DLC","TSN","GJ8941","2021-12-04"
"scheduled","SGN","XUZ","GJ8972","2021-12-04"
"scheduled","HND","ITM","HA5012","2021-12-04"
"landed","HND","IZO","HA5117","2021-12-04"
"scheduled","KIX","CTS","HA5455","2021-12-04"
"scheduled","PVG","HEL","HO1607","2021-12-04"
"scheduled","CGO","DLC","HO1933","2021-12-04"
"active","CKG","NKG","HO5067","2021-12-04"
"scheduled","WEF","CSX","HU1970","2021-12-04"
"scheduled","HAK","TYN","HU7045","2021-12-04"
"active","SZX","XUZ","HU7745","2021-12-04"
"scheduled","PVG","LAX","HU7973","2021-12-04"
"scheduled","AMQ","JIO","IL429","2021-12-04"
"scheduled","WMX","DJJ","IL7322","2021-12-04"
"scheduled","NJC","OVB","IO205","2021-12-04"
"active","PLW","BPN","IW1323","2021-12-04"
"cancelled","AMQ","SXK","IW1516","2021-12-04"
"scheduled","AMQ","BXB","IW3520","2021-12-04"
"landed","SHJ","DEL","IX136","2021-12-04"
"landed","UKB","MMJ","JH232","2021-12-04"
"cancelled","FUK","NRT","JL3052","2021-12-04"
"scheduled","HND","KOJ","JL641","2021-12-04"
"scheduled","WLG","CHC","JQ287","2021-12-04"
"scheduled","BNK","SYD","JQ457","2021-12-04"
"scheduled","FOC","HIA","JR1534","2021-12-04"
"unknown","PLW","UPG","JT641","2021-12-04"
"landed","PLW","UPG","JT781","2021-12-04"
"active","ICN","SVO","JU7729","2021-12-04"
"scheduled","ICN","DFW","KE31","2021-12-04"
"scheduled","ICN","VIE","KE541","2021-12-04"
"active","ICN","SVO","KE5923","2021-12-04"
"scheduled","MNL","ICN","KE624","2021-12-04"
"scheduled","ICN","YYZ","KE73","2021-12-04"
