
Pr,Deposit_ID                      ,Deposit_DT         ,Database_ID,Snapshot_ID,Snapshot_Begin_DT  ,Snapshot_End_DT    ,Snapshot_Sec,  vCPU_Num,  vCPU_Sec,vCPU_DB_FRGD_Sec,vCPU_DB_FRGD_Pct,vCPU_DB_FRGD_Num,vCPU_DB_BKGD_Sec,vCPU_DB_BKGD_Pct,vCPU_DB_BKGD_Num,vCPU_DB_Sec,vCPU_DB_Pct,vCPU_DB_Num,vCPU_OS_Sec,vCPU_OS_Pct,vCPU_OS_Num,Mem_SGA_Shared_Pool_GB,Mem_SGA_Large_Pool_GB,Mem_SGA_Java_Pool_GB,Mem_SGA_Buffer_Cache_GB,Mem_SGA_Log_Buffer_GB,Mem_SGA_GB,Mem_PGA_GB,    Mem_GB,MBPS_App_Reads,MBPS_Sys_Reads,MBPS_Tot_Reads,MBPS_App_Writes,MBPS_Sys_Writes,MBPS_Tot_Writes,MBPS_Tot_App,MBPS_Tot_Sys,  MBPS_Tot, MBPS_INTC,IOPS_App_Reads,IOPS_Sys_Reads,IOPS_Tot_Reads,IOPS_App_Writes,IOPS_Sys_Writes,IOPS_Tot_Writes,IOPS_Tot_App,IOPS_Tot_Sys,  IOPS_Tot,      MBPS                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1081,2022-10-14 06:00:28,2022-10-14 07:00:43,        3615,         2,      7230,         .041646,      5.7602E-06,       .00001152,       26.335938,      .003642592,      .007285183,  26.377584, .003648352, .007296704,      40.46, .005596127, .011192254,            1.17268435,           .062042236,              .03125,                7.96875,           .023208618, 9.2579352,.308602333,9.56653754,    .000023772,    .035360477,     .03538425,      .00457296,     .014438943,     .019011902,  .004596732,   .04979942,.054396152,.054396152,    .003042877,    2.30594744,    2.30899032,     .329460581,     1.85062241,     2.18008299,  .332503458,  4.15656985,4.48907331,.001517205                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1080,2022-10-14 05:00:12,2022-10-14 06:00:28,        3616,         2,      7232,         .128625,      .000017786,      .000035571,        27.01918,      .003736059,      .007472118,  27.147805, .003753845, .007507689,      35.26, .004875553, .009751106,            1.17279757,           .062042236,              .03125,                7.96875,           .023208618,9.25804842,.310738564,9.56878699,    6.4816E-06,    .035365822,    .035372304,     .002946972,     .013958281,     .016905253,  .002953453,  .049324103,.052277557,.052277557,    .000829646,    2.30641593,    2.30724558,     .233130531,     1.84485619,     2.07798673,  .233960177,  4.15127212, 4.3852323,.001077052                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1079,2022-10-14 04:00:57,2022-10-14 05:00:12,        3555,         2,      7110,          .04548,      6.3966E-06,      .000012793,       26.400404,      .003713137,      .007426274,  26.445884, .003719534, .007439067,      35.08, .004933896, .009867792,            1.17310539,           .062042236,              .03125,                7.96875,           .023208618,9.25835624,.307571411,9.56592765,    4.3952E-06,    .035337553,    .035341948,      .00292282,      .01403915,      .01696197,  .002927215,  .049376703,.052303918,.052303918,    .000843882,    2.30436006,    2.30520394,     .234036568,     1.85147679,     2.08551336,   .23488045,  4.15583685, 4.3907173,.001130338                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1078,2022-10-14 03:00:42,2022-10-14 04:00:57,        3615,         2,      7230,         .067827,      9.3813E-06,      .000018763,       26.522679,       .00366842,      .007336841,  26.590506, .003677802, .007355603,      35.71, .004939142, .009878285,            1.17308655,           .062042236,              .03125,                7.96875,           .023208618, 9.2583374,.310006142,9.56834354,    6.4834E-06,    .035408022,    .035414506,     .003217929,     .013909059,     .017126988,  .003224412,  .049317082,.052541494,.052541494,    .000829876,    2.30899032,    2.30982019,     .245643154,     1.85560166,     2.10124481,  .246473029,  4.16459198,4.41106501,.001156224                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1077,2022-10-14 02:00:27,2022-10-14 03:00:42,        3615,         2,      7230,         .455019,      .000062935,       .00012587,       28.450034,      .003934998,      .007869996,  28.905053, .003997933, .007995865,       35.7, .004937759, .009875519,            1.17332344,           .062042236,              .03125,                7.96875,           .023208618,9.25857429,.307876587,9.56645088,    .000401971,    .035317254,    .035719225,     .003217929,     .014186225,     .017404154,    .0036199,  .049503479,.053123379,.053123379,    .049515906,    2.30124481,    2.35076072,     .247026279,     1.85781466,     2.10484094,  .296542185,  4.15905947,4.45560166,.001148546                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1076,2022-10-14 01:00:12,2022-10-14 02:00:27,        3615,         2,      7230,       26.111335,      .003611526,      .007223053,       30.299558,       .00419081,       .00838162,  56.410893, .007802337, .015604673,      67.07, .009276625,  .01855325,            1.17378351,           .062042236,              .03125,                7.96875,           .023208618,9.25903437,.308724403,9.56775877,    .005333679,    .156267964,    .161601644,     .021230982,     .143789846,     .165020828,  .026564661,   .30005781,.326622471,.326622471,    .609405256,    2.54301521,    3.15242047,     1.40138313,     2.51728907,      3.9186722,  2.01078838,  5.06030429,7.07109267,.010125341                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1075,2022-10-14 00:00:57,2022-10-14 01:00:12,        3555,         2,      7110,       57.167136,      .008040385,       .01608077,       32.903765,      .004627815,       .00925563,  90.070901,   .0126682,   .0253364,     102.38, .014399437, .028798875,            1.17468959,           .062042236,              .03125,                7.96875,           .023208618,9.25994045,.308358192,9.56829864,    .011031997,    .038840541,    .049872539,     .054146888,     .074472024,     .128618913,  .065178885,  .113312566,.178491451,.178491451,    .963994374,    2.43628692,    3.40028129,     2.78846695,     4.97355837,     7.76202532,  3.75246132,  7.40984529,11.1623066,  .0433467                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1074,2022-10-13 23:00:42,2022-10-14 00:00:57,        3615,         2,      7230,       44.435608,      .006146004,      .012292008,       30.411772,      .004206331,      .008412662,   74.84738, .010352335, .020704669,      85.86, .011875519, .023751037,            1.16509408,           .062042236,              .03125,                7.96875,           .023208618,9.25034493,.306099892,9.55644482,    .020684215,    .038342842,    .059027057,      .03908195,     .066454335,     .105536285,  .059766165,  .104797178,.164563343,.164563343,    1.49626556,     2.4373444,    3.93360996,     2.22849239,     5.69349931,      7.9219917,  3.72475795,  8.13084371,11.8556017,.026540077                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1073,2022-10-13 22:00:27,2022-10-13 23:00:42,        3615,         2,      7230,        28.50921,      .003943183,      .007886365,       28.790831,      .003982134,      .007964269,  57.300041, .007925317, .015850634,      69.92, .009670816, .019341632,            1.14246912,           .062042236,              .03125,                7.96875,           .023208618,9.22771997,.304763794,9.53248376,    2.50926262,    .036957555,    2.54622018,     .033666148,     .074254679,     .107920827,  2.54292877,  .111212234,  2.654141,  2.654141,    6.47026279,    2.33305671,     8.8033195,     1.27717842,     7.15214385,     8.42932227,  7.74744122,  9.48520055,17.2326418,.023710048                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1072,2022-10-13 21:00:11,2022-10-13 22:00:27,        3616,         2,      7232,       32.533057,      .004498487,      .008996974,       27.134111,      .003751951,      .007503902,  59.667168, .008250438, .016500876,      69.49, .009608684, .019217367,            1.14180767,           .062042236,              .03125,                7.96875,           .023208618,9.22705852,.437108994,9.66416752,    .961477634,    .035813053,    .997290687,     .008080407,      .02470695,     .032787357,  .969558041,  .060520003,1.03007804,1.03007804,    3.90127212,       2.34375,    6.24502212,     .274336283,     3.21709071,     3.49142699,  4.17560841,  5.56084071,9.73644912,  .0026758                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1071,2022-10-13 20:00:56,2022-10-13 21:00:11,        3555,         2,      7110,         .040538,      5.7015E-06,      .000011403,       25.878502,      .003639733,      .007279466,   25.91904, .003645435, .007290869,      34.68, .004877637, .009755274,            1.15107198,           .062042236,              .03125,                7.96875,           .023208618,9.23632284,.332962036,9.56928487,    .000186797,    .035381505,    .035568302,        .003125,      .01421441,      .01733941,  .003311797,  .049595915,.052907711,.052907711,     .02278481,    2.30745429,     2.3302391,     .238255977,      1.8835443,     2.12180028,  .261040788,  4.19099859,4.45203938,.001046167                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1070,2022-10-13 19:00:41,2022-10-13 20:00:56,        3615,         2,      7230,          .06174,      8.5394E-06,      .000017079,       26.512491,      .003667011,      .007334022,  26.574231, .003675551, .007351101,      35.21, .004869986, .009739972,              1.151037,           .062042236,              .03125,                7.96875,           .023208618,9.23628785,.333565712,9.56985357,    .000242047,    .035401539,    .035643586,     .003107711,      .01419568,     .017303391,  .003349758,  .049597219,.052946977,.052946977,    .032365145,    2.30788382,    2.34024896,     .239834025,     1.87330567,      2.1131397,   .27219917,  4.18118949,4.45338866,.001098659                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1069,2022-10-13 18:00:26,2022-10-13 19:00:41,        3615,         2,      7230,         .043677,      6.0411E-06,      .000012082,       28.082196,      .003884121,      .007768242,  28.125873, .003890162, .007780324,      37.95, .005248963, .010497925,            1.15115885,           .062042236,              .03125,                7.96875,           .023208618,9.23640971,.331008911,9.56741862,    .041016165,    .057568292,    .098584457,     .003775501,     .036759947,     .040535448,  .044791667,  .094328238,.139119905,.139119905,     4.0406639,    2.30318119,    6.34384509,     .269709544,     4.74412172,     5.01383126,  4.31037344,   7.0473029,11.3576763,.001305575                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1068,2022-10-13 17:00:11,2022-10-13 18:00:26,        3615,         2,      7230,         .163115,      .000022561,      .000045122,       27.402566,       .00379012,       .00758024,  27.565681, .003812681, .007625361,      35.11, .004856155,  .00971231,            1.15119809,           .062042236,              .03125,                7.96875,           .023208618,9.23644894,.333084106,9.56953305,    .000814748,    .037744208,    .038558956,      .00295427,     .015927559,     .018881829,  .003769018,  .053671767,.057440785,.057440785,    .388105118,    2.30899032,    2.69709544,     .235684647,     2.09958506,     2.33526971,  .623789765,  4.40857538,5.03236515,.001034096                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1067,2022-10-13 16:00:56,2022-10-13 17:00:11,        3555,         2,      7110,         .042103,      5.9217E-06,      .000011843,       26.487568,      .003725396,      .007450793,  26.529671, .003731318, .007462636,       34.7,  .00488045,   .0097609,            1.15123308,           .062042236,              .03125,                7.96875,           .023208618,9.23648393,.335213661,9.57169759,    .000292282,    .035324367,    .035616649,     .003012922,     .014323466,     .017336388,  .003305204,  .049647833,.052953037,.052953037,    .037974684,    2.30351617,    2.34149086,     .237974684,     1.89563994,     2.13361463,  .275949367,  4.19915612,4.47510549,.001075925                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1066,2022-10-13 15:00:40,2022-10-13 16:00:56,        3616,         2,      7232,         .061807,      8.5463E-06,      .000017093,       26.276565,      .003633375,      .007266749,  26.338372, .003641921, .007283842,      36.51, .005048396, .010096792,            1.15125984,           .062042236,              .03125,                7.96875,           .023208618,9.23651069,.336129189,9.57263988,    .001769479,    .035488973,    .037258452,     .003307781,     .015480919,     .018788701,  .005077261,  .050969892,.056047153,.056047153,    .157079646,    2.30724558,    2.46432522,     .245575221,     2.02212389,     2.26769912,  .402654867,  4.32936947,4.73202434,.001270726                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1065,2022-10-13 13:55:38,2022-10-13 15:00:40,        3902,         2,      7804,       20.449359,      .002620369,      .005240738,       37.750747,      .004837359,      .009674717,  58.200106, .007457728, .014915455,      74.93, .009601486, .019202973,             1.1515452,           .062042236,              .03125,                7.96875,           .023208618,9.23679606,.333511353,9.57030741,     .05563453,    .044144029,    .099778559,     .719364669,     .040037561,      .75940223,  .774999199,   .08418159,.859180789,.859180789,    2.98436699,    2.38288057,    5.36724757,     57.3736545,     4.67478216,     62.0484367,  60.3580215,  7.05766274,67.4156843,.004961555                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1064,2022-10-13 12:55:28,2022-10-13 13:55:38,        3610,         2,      7220,      1434.70522,      .198712634,      .397425268,      1452.24974,      .201142624,      .402285247, 2886.95496, .399855258, .799710516,    2979.75, .412707756, .825415512,            1.16289584,           .062042236,              .03125,                7.96875,           .023208618, 9.2481467,.344789505, 9.5929362,     8.2159085,    37.3707065,     45.586615,     74.5584596,     70.3160793,     144.874539,  82.7743681,  107.686786,190.461154,190.461154,    984.570083,    165.274515,     1149.8446,     7863.33102,     170.391136,     8033.72216,  8847.90111,  335.665651,9183.56676,33.4130243                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1063,2022-10-13 12:52:20,2022-10-13 12:55:28,         188,         2,       376,        2.470313,      .006569981,      .013139963,       27.275614,      .072541527,      .145083053,  29.745927, .079111508, .158223016,      36.09, .095984043, .191968085,            1.16321614,           .062042236,              .03125,                7.96875,           .023208618,9.24846699, .36428833,9.61275532,     1.7592254,    2.66360539,    4.42283078,     .027094415,     2.23158797,     2.25868238,  1.78631981,  4.89519335,6.68151317,6.68151317,    42.2074468,    24.3244681,    66.5319149,     1.61702128,      11.856383,     13.4734043,  43.8244681,  36.1808511,80.0053191,.016829389                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1062,2022-10-13 11:00:42,2022-10-13 12:00:57,        3615,         2,      7230,         .066221,      9.1592E-06,      .000018318,       26.196773,      .003623343,      .007246687,  26.262994, .003632503, .007265005,      35.34, .004887967, .009775934,            1.16352178,           .062042236,              .03125,                7.96875,           .023208618,9.24877264,.278501511,9.52727415,    6.4834E-06,    .035319416,    .035325899,     .003090422,     .014021303,     .017111725,  .003096905,  .049340719,.052437624,.052437624,    .000829876,    2.30345781,    2.30428769,     .240387275,      1.8461964,     2.08658368,  .241217151,  4.14965422,4.39087137, .00113207                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1061,2022-10-13 10:00:28,2022-10-13 11:00:42,        3614,         2,      7228,         .040955,      5.6662E-06,      .000011332,       26.601234,      .003680304,      .007360607,  26.642189,  .00368597, .007371939,      35.13, .004860266, .009720531,            1.16360877,           .062042236,              .03125,                7.96875,           .023208618,9.24885963,.277592659,9.52645229,    6.4852E-06,    .035352968,    .035359453,     .003383111,     .014063554,     .017446665,  .003389596,  .049416521,.052806117,.052806117,    .000830105,    2.30547869,     2.3063088,     .234643055,     1.84532374,      2.0799668,   .23547316,  4.15080243,4.38627559,.001148523                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1060,2022-10-13 09:00:13,2022-10-13 10:00:28,        3615,         2,      7230,         .062001,      8.5755E-06,      .000017151,       28.003318,      .003873211,      .007746423,  28.065319, .003881787, .007763574,      37.63, .005204703, .010409405,            1.16353855,           .062042236,              .03125,                7.96875,           .023208618, 9.2487894,.276975632,9.52576503,      .0000389,    .035299965,    .035338866,     .003799274,     .014751362,     .018550635,  .003838174,  .050051327,.053889501,.053889501,    .004979253,    2.30207469,    2.30705394,     .277178423,      1.9526971,     2.22987552,  .282157676,  4.25477178,4.53692946,.001811717                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1059,2022-10-13 08:00:59,2022-10-13 09:00:13,        3554,         2,      7108,         .041182,      5.7938E-06,      .000011588,        25.76291,      .003624495,       .00724899,  25.804092, .003630289, .007260577,      35.11, .004939505,  .00987901,            1.16356465,           .062042236,              .03125,                7.96875,           .023208618,9.24881551,.279478073,9.52829358,     .00006155,    .035387064,    .035448614,     .003073122,     .014046535,     .017119657,  .003134672,  .049433599,.052568271,.052568271,    .006752954,    2.30782217,    2.31457513,      .24141812,     1.85002814,     2.09144626,  .248171075,  4.15785031,4.40602138,.001127488                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1058,2022-10-13 07:00:44,2022-10-13 08:00:59,        3615,         2,      7230,         .061144,      .000008457,      .000016914,       26.637311,      .003684275,      .007368551,  26.698455, .003692732, .007385465,       35.4, .004896266, .009792531,            1.16358566,           .062042236,              .03125,                7.96875,           .023208618,9.24883651,.278562546,9.52739906,    6.4834E-06,    .035390733,    .035397216,      .00314445,     .014024275,     .017168725,  .003150934,  .049415008,.052565942,.052565942,    .000829876,    2.30788382,    2.30871369,     .241217151,     1.84647303,     2.08769018,  .242047026,  4.15435685,4.39640387,.001137494                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1057,2022-10-13 06:00:30,2022-10-13 07:00:44,        3614,         2,      7228,         .040442,      5.5952E-06,       .00001119,       26.212242,      .003626486,      .007252972,  26.252684, .003632081, .007264163,      36.07, .004990315, .009980631,            1.16376019,           .062042236,              .03125,                7.96875,           .023208618,9.24901104,.277592659, 9.5266037,    4.3235E-06,    .035277307,     .03528163,     .003071821,     .013984921,     .017056742,  .003076145,  .049262228,.052338373,.052338373,    .000553403,    2.30077476,    2.30132817,     .245987825,     1.85058107,      2.0965689,  .246541229,  4.15135584,4.39789707,.001094419                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1056,2022-10-13 05:00:15,2022-10-13 06:00:30,        3615,         2,      7230,         .141039,      .000019507,      .000039015,       27.470491,      .003799515,      .007599029,   27.61153, .003819022, .007638044,      35.55, .004917012, .009834025,            1.16387996,           .062042236,              .03125,                7.96875,           .023208618,9.24913082,.275883675,9.52501449,    2.1611E-06,    .035410183,    .035412344,     .003040716,      .01405372,     .017094436,  .003042877,  .049463904,.052506781,.052506781,     .00055325,    2.30899032,    2.30954357,     .238450899,     1.85809129,     2.09654219,  .239004149,   4.1670816,4.40608575,.001124539                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1055,2022-10-13 04:00:01,2022-10-13 05:00:15,        3614,         2,      7228,         .044801,      6.1983E-06,      .000012397,       26.170959,      .003620775,      .007241549,   26.21576, .003626973, .007253946,      35.12, .004858882, .009717764,            1.16399799,           .062042236,              .03125,                7.96875,           .023208618,9.24924885,.278569221,9.52781807,    4.3235E-06,    .035262175,    .035266498,     .003022102,      .01410206,     .017124161,  .003026425,  .049364235, .05239066, .05239066,    .000553403,    2.29966796,    2.30022136,     .241560598,     1.86690647,     2.10846707,  .242114001,  4.16657443,4.40868843,  .0011111                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1054,2022-10-13 03:00:46,2022-10-13 04:00:01,        3555,         2,      7110,          .06216,      8.7426E-06,      .000017485,        25.84093,      .003634449,      .007268897,   25.90309, .003643191, .007286383,      35.82, .005037975, .010075949,             1.1641049,           .062042236,              .03125,                7.96875,           .023208618,9.24935576,.279356003,9.52871176,    .000727409,    .035399086,    .036126494,     .003815049,     .014409722,     .018224771,  .004542458,  .049808808,.054351266,.054351266,    .093108298,    2.30857947,    2.40168776,     .284950774,     1.88776371,     2.17271449,  .378059072,  4.19634318,4.57440225,.001278696                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1053,2022-10-13 02:00:32,2022-10-13 03:00:46,        3614,         2,      7228,         .461859,      .000063899,      .000127797,       26.611817,      .003681768,      .007363535,  27.073676, .003745666, .007491333,      35.49, .004910072, .009820144,             1.1644151,           .062042236,              .03125,                7.96875,           .023208618,9.24966595,.272709846, 9.5223758,    .000484228,    .035445922,     .03593015,     .003253407,     .014404567,     .017657974,  .003737635,  .049850489,.053588124,.053588124,    .059214167,    2.30852241,    2.36773658,     .247924737,     1.89457665,     2.14250138,  .307138904,  4.20309906,4.51023796,.001221477                                             
