flight_date, flight_status, flight_iata, arrival_iata, arrival_delay, departure_iata, departure_delay
"2020-11-30","scheduled","3U4064","AKA",null,"XIY",null
"2020-11-30","scheduled","AA6662","LHR",null,"DEL",30
"2020-11-30","scheduled","AI9805","KUU",null,"DEL",null
"2020-11-30","scheduled","OD1265","SZB",null,"KBR",null
"2020-11-30","scheduled","IR3422","IFN",null,"RZR",null
"2020-11-30","scheduled","MF1248","CAN",null,"TNA",null
"2020-11-30","cancelled","CZ9511","XNN",null,"URC",null
"2020-11-30","scheduled","HU704R","HAK",null,"XMN",null
"2020-11-30","scheduled","MU8013","HGH",null,"XMN",null
"2020-11-30","scheduled","NS6063","HGH",null,"XMN",null
"2020-11-30","scheduled","CZ4039","HGH",null,"XMN",null
"2020-11-30","scheduled","SC7004","KMG",null,"XMN",null
"2020-11-30","scheduled","MF5026","KMG",null,"XMN",null
"2020-11-30","scheduled","CZ9148","KMG",null,"XMN",null
"2020-11-30","scheduled","KL4267","CTU",null,"XMN",null
"2020-11-30","scheduled","NS8247","XIY",null,"XMN",null
"2020-11-30","scheduled","CZ4193","XIY",null,"XMN",null
"2020-11-30","scheduled","CA1404","PEK",null,"KMG",null
"2020-11-30","scheduled","HU7148","PEK",null,"CTU",null
"2020-11-30","scheduled","G56924","PEK",null,"XIY",null
"2020-11-30","scheduled","CA1290","PEK",null,"XIY",null
"2020-11-30","scheduled","3U8887","PEK",null,"CTU",null
"2020-11-30","scheduled","MU2107","PEK",null,"XIY",null
"2020-11-30","scheduled","CA4115","PEK",null,"CTU",null
"2020-11-30","scheduled","CA1232","PEK",null,"XIY",null
"2020-11-30","scheduled","CA4107","PEK",null,"CTU",null
"2020-11-30","scheduled","ZH4107","PEK",null,"CTU",null
"2020-11-30","scheduled","UA7547","PEK",null,"CTU",null
"2020-11-30","scheduled","SK9516","PEK",null,"CTU",null
"2020-11-30","scheduled","AC6615","PEK",null,"CTU",null
"2020-11-30","scheduled","A81112","EBB",null,"KSE",null
"2020-11-30","scheduled","SU1201","SVO",null,"PEE",null
"2020-11-30","scheduled","UT109","UFA",null,"PEE",null
"2020-11-30","scheduled","UVT278","SLY",null,"PEE",null
"2020-11-30","scheduled","AF7541","ORY",null,"MPL",null
"2020-11-30","scheduled","WF586","BGO",null,"KRS",null
"2020-11-30","scheduled","AY2910","BGO",null,"KRS",null
"2020-11-30","scheduled","G58551","TYN",null,"CAN",null
"2020-11-30","cancelled","SC9711","TYN",null,"SHE",null
"2020-11-30","cancelled","KY9711","TYN",null,"SHE",null
"2020-11-30","scheduled","SC4817","HET",null,"TYN",null
"2020-11-30","scheduled","ZH2591","HET",null,"TYN",null
"2020-11-30","scheduled","CA4817","HET",null,"TYN",null
"2020-11-30","scheduled","MU9623","PVG",null,"TYN",null
"2020-11-30","scheduled","G56906","HET",null,"TYN",null
"2020-11-30","scheduled","CA1441","XNN",null,"TYN",null
"2020-11-30","scheduled","ZH1441","XNN",null,"TYN",null
"2020-11-30","scheduled","TV6091","KWE",null,"TYN",null
"2020-11-30","scheduled","EU7215","KWE",null,"TYN",null
"2020-11-30","scheduled","CZ3584","KHN",null,"TYN",null
"2020-11-30","scheduled","3U8850","CKG",null,"TYN",null
