flight_date, flight_status, flight_iata, arrival_iata, arrival_delay, departure_iata, departure_delay
2020-11-29,scheduled,ZH1931,TSN,null,WNZ,null
2020-11-29,scheduled,CA1931,TSN,null,WNZ,null
2020-11-29,scheduled,UA7623,PEK,null,WNZ,null
2020-11-29,scheduled,ZH1957,PEK,null,WNZ,null
2020-11-29,scheduled,CA1957,PEK,null,WNZ,null
2020-11-29,scheduled,MF1867,PKX,null,WNZ,null
2020-11-29,scheduled,CZ8972,PKX,null,WNZ,null
2020-11-29,scheduled,MU9692,CAN,null,WNZ,null
2020-11-29,scheduled,SC1927,KWE,null,WNZ,null
2020-11-29,scheduled,ZH1927,KWE,null,WNZ,null
2020-11-29,scheduled,CA1927,KWE,null,WNZ,null
2020-11-29,scheduled,ZH1917,CGQ,null,WNZ,null
2020-11-29,scheduled,CA1917,CGQ,null,WNZ,null
2020-11-29,scheduled,GS2540,WXN,null,WNZ,null
2020-11-29,scheduled,UQ2540,WXN,null,WNZ,null
2020-11-29,scheduled,SC6081,WNZ,null,CKG,null
2020-11-29,scheduled,CZ3853,HGH,null,CAN,null
2020-11-29,scheduled,EU7245,WNZ,null,CKG,null
2020-11-29,scheduled,ZH3717,WNZ,null,CKG,null
2020-11-29,scheduled,CA3971,WNZ,null,CKG,null
2020-11-29,scheduled,MU8394,WNZ,null,CKG,null
2020-11-29,scheduled,CA4805,WNZ,null,TNA,null
2020-11-29,scheduled,ZH2933,WNZ,null,TNA,null
2020-11-29,scheduled,QR5733,DME,null,NUX,18
2020-11-29,scheduled,LY8886,DME,null,NUX,18
2020-11-29,scheduled,S72572,DME,null,NUX,18
2020-11-29,scheduled,SU1523,SVO,null,NUX,null
2020-11-29,scheduled,YC845,LED,null,NUX,null
2020-11-29,scheduled,YC187,UFA,null,NUX,null
2020-11-29,scheduled,UT1041,TJM,null,NUX,null
2020-11-29,scheduled,IW1157,PLW,null,LUW,null
2020-11-29,scheduled,IW1193,PLW,null,LUW,null
2020-11-29,scheduled,CA4795,CKG,null,TAO,null
2020-11-29,scheduled,SJ579,UPG,null,LUW,null
2020-11-29,scheduled,ZH3027,CKG,null,TAO,null
2020-11-29,scheduled,3U2625,ENH,null,TAO,null
2020-11-29,scheduled,CA4889,ENH,null,TAO,null
2020-11-29,scheduled,ZH2973,ENH,null,TAO,null
